"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 27 12:54:50 UTC 2026","Sat Jun 27 12:54:57 UTC 2026","6842","OrangeHRM Suite","OrangeHRM Tests","com.orangehrm.tests.LoginTest","com.orangehrm.tests.LoginTest","testValidLogin","testValidLogin",""
"broken","Sat Jun 27 12:55:43 UTC 2026","Sat Jun 27 12:55:57 UTC 2026","13325","OrangeHRM Suite","OrangeHRM Tests","com.orangehrm.tests.CreateEmployeeTest","com.orangehrm.tests.CreateEmployeeTest","testValidEmployeeCreation","testValidEmployeeCreation",""
"passed","Sat Jun 27 12:54:39 UTC 2026","Sat Jun 27 12:54:43 UTC 2026","3382","OrangeHRM Suite","OrangeHRM Tests","com.orangehrm.tests.LoginTest","com.orangehrm.tests.LoginTest","testInvalidPassword","testInvalidPassword",""
"broken","Sat Jun 27 12:56:05 UTC 2026","Sat Jun 27 12:56:18 UTC 2026","13312","OrangeHRM Suite","OrangeHRM Tests","com.orangehrm.tests.DeleteEmployeeTest","com.orangehrm.tests.DeleteEmployeeTest","testValidEmployeeDeletion","testValidEmployeeDeletion",""
"passed","Sat Jun 27 12:56:26 UTC 2026","Sat Jun 27 12:56:30 UTC 2026","3573","OrangeHRM Suite","OrangeHRM Tests","com.orangehrm.tests.CreatePostTest","com.orangehrm.tests.CreatePostTest","createPostWithEmptyContent","createPostWithEmptyContent",""
"broken","Sat Jun 27 12:55:21 UTC 2026","Sat Jun 27 12:55:34 UTC 2026","13335","OrangeHRM Suite","OrangeHRM Tests","com.orangehrm.tests.AssignClaimTest","com.orangehrm.tests.AssignClaimTest","assignClaimWithMissingRequiredField","assignClaimWithMissingRequiredField",""
"passed","Sat Jun 27 12:55:37 UTC 2026","Sat Jun 27 12:55:41 UTC 2026","4098","OrangeHRM Suite","OrangeHRM Tests","com.orangehrm.tests.CreateEmployeeTest","com.orangehrm.tests.CreateEmployeeTest","createEmployeeWithMissingFirstName","createEmployeeWithMissingFirstName",""
"passed","Sat Jun 27 12:54:59 UTC 2026","Sat Jun 27 12:55:03 UTC 2026","3484","OrangeHRM Suite","OrangeHRM Tests","com.orangehrm.tests.LogoutTest","com.orangehrm.tests.LogoutTest","createEmployeeTC","createEmployeeTC",""
"broken","Sat Jun 27 12:56:20 UTC 2026","Sat Jun 27 12:56:23 UTC 2026","2980","OrangeHRM Suite","OrangeHRM Tests","com.orangehrm.tests.CreatePostTest","com.orangehrm.tests.CreatePostTest","createPostTc","createPostTc",""
"passed","Sat Jun 27 12:54:45 UTC 2026","Sat Jun 27 12:54:47 UTC 2026","1863","OrangeHRM Suite","OrangeHRM Tests","com.orangehrm.tests.LoginTest","com.orangehrm.tests.LoginTest","testInvalidUsername","testInvalidUsername",""
"passed","Sat Jun 27 12:55:59 UTC 2026","Sat Jun 27 12:56:02 UTC 2026","2617","OrangeHRM Suite","OrangeHRM Tests","com.orangehrm.tests.DeleteEmployeeTest","com.orangehrm.tests.DeleteEmployeeTest","deleteEmployeeWithInvalidName","deleteEmployeeWithInvalidName",""
"broken","Sat Jun 27 12:55:05 UTC 2026","Sat Jun 27 12:55:18 UTC 2026","13237","OrangeHRM Suite","OrangeHRM Tests","com.orangehrm.tests.AssignClaimTest","com.orangehrm.tests.AssignClaimTest","assignClaimTC","assignClaimTC",""
